Item,ORIGEN PROVEEDOR,PROVEEDOR CCIAL,Estado,COMPRAS
18,0002 - IMPORTADO,0165 - VERA,Activo,0002 - NO
75,0001 - NACIONAL,0165 - VERA,Activo,0002 - NO
4507,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
4549,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
5066,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
5264,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
5512,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
6502,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
6932,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
7062,0001 - NACIONAL,0165 - VERA,Inactivo,0002 - NO
7211,0001 - NACIONAL,0165 - VERA,Inactivo,0002 - NO
10017,0001 - NACIONAL,0165 - VERA,Activo,0001 - SI
10116,0001 - NACIONAL,0165 - VERA,Activo,0002 - NO
10157,0001 - NACIONAL,0165 - VERA,Inactivo,0002 - NO
13029,0001 - NACIONAL,0165 - VERA,Inactivo,0002 - NO
13227,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
13490,0001 - NACIONAL,0165 - VERA,Inactivo,0002 - NO
14977,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
15495,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
15586,0001 - NACIONAL,0165 - VERA,Inactivo,0002 - NO
15693,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
16030,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
17525,0001 - NACIONAL,0165 - VERA,Inactivo,0002 - NO
18010,0001 - NACIONAL,0165 - VERA,Activo,0001 - SI
18093,0001 - NACIONAL,0165 - VERA,Inactivo,0002 - NO
19018,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
19067,0001 - NACIONAL,0165 - VERA,Inactivo,0002 - NO
19158,0001 - NACIONAL,0165 - VERA,Inactivo,0002 - NO
19190,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
19604,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
20032,0001 - NACIONAL,0165 - VERA,Inactivo,0002 - NO
20180,0001 - NACIONAL,0165 - VERA,Inactivo,0002 - NO
412742,0001 - NACIONAL,0002 - ABRACOL,Inactivo,0002 - NO
412841,0001 - NACIONAL,0002 - ABRACOL,Inactivo,0002 - NO
413500,0001 - NACIONAL,0002 - ABRACOL,Inactivo,0002 - NO
413724,0001 - NACIONAL,0002 - ABRACOL,Inactivo,0002 - NO
414409,0001 - NACIONAL,0002 - ABRACOL,Inactivo,0002 - NO
414888,0001 - NACIONAL,0002 - ABRACOL,Bloqueado,0002 - NO
415083,0001 - NACIONAL,0002 - ABRACOL,Inactivo,0002 - NO
415323,0001 - NACIONAL,0002 - ABRACOL,Activo,0001 - SI
415356,0001 - NACIONAL,0002 - ABRACOL,Activo,0001 - SI
415927,0001 - NACIONAL,0002 - ABRACOL,Inactivo,0002 - NO
416081,0001 - NACIONAL,0002 - ABRACOL,Inactivo,0002 - NO
416388,0001 - NACIONAL,0002 - ABRACOL,Inactivo,0002 - NO
416594,0001 - NACIONAL,0002 - ABRACOL,Inactivo,0002 - NO
416636,0001 - NACIONAL,0002 - ABRACOL,Inactivo,0002 - NO
416768,0001 - NACIONAL,0002 - ABRACOL,Inactivo,0002 - NO
453092,0001 - NACIONAL,0039 - CORSAN,Inactivo,0002 - NO
