codigo_producto,descripcion,unidad,factor,Proveedor
18,CANDADO BARRILITO LATON L-30 VERA,C12 ,12,VERA
18,CANDADO BARRILITO LATON L-30 VERA,C48 ,48,VERA
18,CANDADO BARRILITO LATON L-30 VERA,DNA ,12,VERA
18,CANDADO BARRILITO LATON L-30 VERA,E24 ,24,VERA
18,CANDADO BARRILITO LATON L-30 VERA,UND ,1,VERA
34,CANDADO BARRILITO LATON L-40 VERA,C12 ,12,VERA
34,CANDADO BARRILITO LATON L-40 VERA,C48 ,48,VERA
34,CANDADO BARRILITO LATON L-40 VERA,DNA ,12,VERA
34,CANDADO BARRILITO LATON L-40 VERA,E24 ,24,VERA
34,CANDADO BARRILITO LATON L-40 VERA,UND ,1,VERA
59,CANDADO BARRILITO LATON L-50 VERA       ,C12 ,12,VERA
59,CANDADO BARRILITO LATON L-50 VERA       ,DNA ,12,VERA
59,CANDADO BARRILITO LATON L-50 VERA       ,UND ,1,VERA
75,CANDADO BARRILITO LATON L-70 VERA,C12 ,12,VERA
75,CANDADO BARRILITO LATON L-70 VERA,C6  ,6,VERA
75,CANDADO BARRILITO LATON L-70 VERA,DNA ,12,VERA
75,CANDADO BARRILITO LATON L-70 VERA,E12 ,12,VERA
75,CANDADO BARRILITO LATON L-70 VERA,UND ,1,VERA
976,CANDADO PLANO LATON 40mm 328V VERA,C12 ,12,VERA
976,CANDADO PLANO LATON 40mm 328V VERA,DNA ,12,VERA
976,CANDADO PLANO LATON 40mm 328V VERA,UND ,1,VERA
1008,CANDADO PLANO LATON 40mm 332V VERA,C12 ,12,VERA
1008,CANDADO PLANO LATON 40mm 332V VERA,DNA ,12,VERA
1008,CANDADO PLANO LATON 40mm 332V VERA,E24 ,24,VERA
1008,CANDADO PLANO LATON 40mm 332V VERA,UND ,1,VERA
1032,CANDADO PLANO LATON 50mm 336V VERA,C12 ,12,VERA
1032,CANDADO PLANO LATON 50mm 336V VERA,C6  ,6,VERA
1032,CANDADO PLANO LATON 50mm 336V VERA,DNA ,12,VERA
1032,CANDADO PLANO LATON 50mm 336V VERA,E12 ,12,VERA
1032,CANDADO PLANO LATON 50mm 336V VERA,UND ,1,VERA
1065,CANDADO PLANO LATON 56mm 340V VERA,C12 ,12,VERA
1065,CANDADO PLANO LATON 56mm 340V VERA,C6  ,6,VERA
1065,CANDADO PLANO LATON 56mm 340V VERA,DNA ,12,VERA
1065,CANDADO PLANO LATON 56mm 340V VERA,E12 ,12,VERA
1065,CANDADO PLANO LATON 56mm 340V VERA,UND ,1,VERA
1081,CANDADO PLANO LATON 70mm 380V VERA,C12 ,12,VERA
1081,CANDADO PLANO LATON 70mm 380V VERA,C6  ,6,VERA
1081,CANDADO PLANO LATON 70mm 380V VERA,DNA ,12,VERA
1081,CANDADO PLANO LATON 70mm 380V VERA,E12 ,12,VERA
1081,CANDADO PLANO LATON 70mm 380V VERA,UND ,1,VERA
1503,CANDADO PLANO LATON 30V VERA            ,C12 ,12,VERA
1503,CANDADO PLANO LATON 30V VERA            ,DNA ,12,VERA
1503,CANDADO PLANO LATON 30V VERA            ,UND ,1,VERA
1529,CANDADO PLANO LATON 40V VERA,C12 ,12,VERA
1529,CANDADO PLANO LATON 40V VERA,DNA ,12,VERA
1529,CANDADO PLANO LATON 40V VERA,UND ,1,VERA
1545,CANDADO PLANO LATON 50V VERA,C12 ,12,VERA
